drinks			12
kaffi	coffee	커피
aðgangur bannaður	do not enter	진입 금지
hált gólf	slippery floor	바닥 미끄러움
vegavinna	roadwork	도로 공사
gangbraut	pedestrian crossing	횡단 보도
dýr á ferð	animal crossing	튀어나오는 동물 주의
grjóthrun	falling rocks	낙석 주의
biðskyldumerki	give way sign	양보 표시
börn á ferð	children crossing	아이들 횡단 중
hætta	danger	위험
háspenna	high voltage	높은 전압
u-beygja	u-turn	유턴
ég vík	I give way	저는 양보해요
supermarket			18
innkaupakarfa	shopping cart	쇼핑 카트
strikamerki	barcode	바코드
afgreiðslukassi	cash register	금전 등록기
bændamarkaður	farmer's market	농산물 시장
frosin matvæli	frozen food	냉동식품
færiband	conveyor belt	컨베이어 벨트
strikamerkjalesari	barcode scanner	바코드 스캐너
innkaupapoki	shopping bag	쇼핑백
innkaupalisti	shopping list	쇼핑 리스트
síðasti söludagur	expiration date	유통기한
vildarkort	loyalty card	멤버십 카드
sjálfsafgreiðsla	self-service	셀프서비스
flóamarkaður	flea market	벼룩시장
netverslun	online shopping	온라인 쇼핑
útstillingargluggi	display window	진열장
verðmiði	price tag	가격표
ég birgi mig upp	I stock up	저는 비축해요
ég útvega	I supply	저는 공급해요
_com			16
rafhlaða	battery	배터리
myndavél	camera	카메라
farsími	cellphone	휴대폰
tölva	computer	컴퓨터
skrá	file	파일
heyrnartól	headphones	헤드폰
lyklaborð	keyboard	키보드
fartölva	laptop	노트북
tölvumús	mouse	마우스
net	network	네트워크
lykilorð	password	암호
rafmagnstengill	plug	플러그
prentari	printer	프린터
skjár	screen	화면
USB minniskubbur	USB stick	유에스비
ég les	I read	저는 읽어요
jobs			16
íþróttamaður	athlete	운동선수
kokkur	cook	요리사
blaðamaður	journalist	기자
lögfræðingur	lawyer	변호사
læknir	doctor	의사
vélvirki	mechanic	정비사
prestur	priest	신부
vísindamaður	scientist	과학자
ritari	secretary	비서
kennari	teacher	선생님
skrifstofustarfsmaður	office worker	회사원
tónlistarmaður	musician	음악가
forritari	programmer	프로그래머
námsmaður	student	학생
þjónn	waiter	웨이터
ég hunsa	I ignore	저는 무시해요
computers			17
viðhengi	attachment	첨부
kapall	cable	케이블
hleðslutæki	charger	충전기
fjarstýring	controller	조종 장치
niðurhal	download	다운로드
heyrnartól	earphones	이어폰
tölvupóstur	email	이메일
heyrnataltól	headset	헤드셋
internet	internet	인터넷
tónlistarspilari	music player	음악 플레이어
skanni	scanner	스캐너
snjallsími	smartphone	스마트폰
innstunga	socket	콘센트
spjaldtölva	tablet	태블릿
upphal	upload	업로드
vefsíða	website	웹사이트
þráðlaust net	WIFI	와이파이
more_jobs			17
endurskoðandi	accountant	회계사
arkitekt	architect	건축가
járnsmiður	blacksmith	대장장이
bifvélavirki	car mechanic	자동차 정비사
smiður	carpenter	목수
efnafræðingur	chemist	화학자
slökkviliðsmaður	firefighter	소방관
sjómaður	fisherman	어부
garðyrkjumaður	gardener	정원사
hjúkrunarfræðingur	nurse	간호사
málari	painter	도장공
pípulagningamaður	plumber	배관공
lögregluþjónn	policeman	경찰관
sálfræðingur	psychologist	심리학자
leigubílstjóri	taxi driver	택시 운전사
dýralæknir	vet	수의사
rithöfundur	writer	작가
workspace			16
bréfaklemma	paperclip	클립
skrifborð	desk	책상
skjalaskápur	file cabinet	파일 캐비닛
ljósritunarvél	photocopier	복사기
fundaherbergi	conference room	회의실
kaffitería	cafeteria	카페테리아
heftilosari	staple remover	철침 제거기
upphækkað skrifborð	standing desk	입식 책상
rými	cubicle	칸막이
ritvinnsla	word processor	문서 처리기
skýjageymsla	cloud storage	클라우드 스토리지
næturvakt	night shift	야간 근무
ég ræð í vinnu	I employ	저는 고용해요
ég bæti	I improve	저는 향상시켜요
ég prenta	I print	저는 인쇄해요
ég afrita	I copy	저는 복사해요
business			17
þjónustudeild	customer support	고객 지원
starfsmenn	employees	종업원
frumkvöðull	entrepreneur	사업가
faxvél	fax machine	팩스
ég rek	I fire	저는 해고해요
stjórnandi	manager	경영자
fundur	meeting	회의
stofnun	organization	단체
kynning	presentation	발표
hagnaður	profit	이익
stöðuhækkun	promotion	승진
launahækkun	raise	인상
laun	salary	월급
heftari	stapler	스테이플러
ritföng	stationery	문구류
límbandsstatíf	tape dispenser	테이프 디스펜서
vinnutími	work hours	근무시간
agriculture			17
hlaða	barn	헛간
kornþreskivél	combine	콤바인
bóndabýli	farm	농장
bóndi	farmer	농부
gróðurhús	greenhouse	온실
ég uppsker	I harvest	저는 수확을 해요
ég gróðurset	I plant	저는 심어요
aldingarður	orchard	과수원
beitiland	pasture	초원
skordýraeitur	pesticides	농약
haki	pick axe	곡괭이
plógur	plow	쟁기
akur	plow field	밭
fuglahræða	scarecrow	허수아비
heybaggi	straw bale	짚단
dráttarvél	tractor	트랙터
vatnstankur	water tank	물탱크
etiquette			18
handaband	handshake	악수
persónulegt rými	personal space	개인 공간
loftkoss	air kiss	손키스
klæðaburður	dress code	복장 규정
fimma	high five	하이파이브
slá saman hnefum	fist bump	주먹 부딪히기
hnébeyging	curtsy	예절
hneiging	bowing	인사
dömur fyrst	ladies first	숙녀 먼저
augnsamband	eye contact	시선을 마주침
blóta	cursing	욕
truflun	interruption	끼어들기
handbendingar	hand gesture	손짓
ég hrósa	I compliment	저는 칭찬해요
ég veifa	I wave	저는 흔들어요
ég biðst afsökunar	I apologize	저는 사과해요
ég held hurðinni	I hold the door	저는 문을 잡고 있어요
ég lyfti hatti mínum	I tip my hat	저는 모자를 들어요
more_computers			18
kveikihnappur	power button	전원 버튼
minniskortalesari	memory card reader	메모리 카드 판독기
rafmagnssnúra	power cable	전력선
töflureiknir	spreadsheet	스프레드시트
millistykki	adaptor	어댑터
vefmyndavél	webcam	웹캠
usb kapall	USB cable	USB 케이블
utanáliggjandi drif	external drive	외장 드라이브
snertiborð	trackpad	트랙패드
hátalari	speaker	스피커
usb fjöltengi	USB hub	usb허브
ferðahleðsla	power bank	보조 배터리
fartölvutaska	laptop sleeve	노트북 케이스
skjávörn	screen protector	화면 보호기
myndfundur	video conference	화상 회의
hún frýs	it crashes	고장 나다
ég rita	I type	저는 타이핑해요
ég fer yfir	I review	저는 리뷰해요
clothes			16
belti	belt	벨트
stígvél	boots	부츠
brjóstahaldari	bra	브라
kápa	coat	코트
kjóll	dress	드레스
gleraugu	glasses	안경
hanskar	gloves	장갑
sokkar	socks	양말
nærbuxur	underwear	속옷
stuttbuxur	shorts	반바지
trefill	scarf	목도리
skyrta	shirt	셔츠
skór	shoe	신발
stuttermabolur	t-shirt	티셔츠
buxur	trousers	바지
ég klæði mig	I get dressed	저는 옷을 입어요
more_clothes			16
regnkápa	raincoat	우비
sloppur	robe	가운
nærbuxur	boxer shorts	사각 팬티
stuttar nærbuxur	briefs	삼각 팬티
náttföt	pyjamas	잠옷
samfestingur	overalls	오버롤
hversdagsföt	loungewear	평상복
jakki	blazer	블레이저
slá	poncho	판초
peysa	jumper	점퍼
peysa	pullover	스웨터
treyja	cardigan	가디건
ermi	sleeve	소매
nefhringur	nose ring	코걸이
ég brýt saman	I fold	저는 접어요
ég hengi upp	I hang up	저는 걸어요
cosmetics			17
svitalyktareyðir	deodorant	데오도란트
augndropar	eye drops	안약
augnhár	eyelash	속눈썹
handáburður	hand cream	핸드크림
ég þríf	I clean	저는 청소해요
varasalvi	lip balm	립밤
varalitur	lipstick	립스틱
förðunarbursti	makeup brush	메이크업 브러시
naglaskæri	manicure scissors	매니큐어 가위
maskari	mascara	마스카라
naglaklippa	nail clipper	손톱깎이
naglaþjöl	nail file	네일 에모리 보드
naglalakk	nail polish	매니큐어
ilmvatn	perfume	향수
eyrnapinnar	cotton swab	면봉
sjampó	shampoo	샴푸
snyrtivörur	toiletry	세면용품
fashion			17
slaufa	bowtie	나비 넥타이
herðatré	clothes hanger	옷걸이
kragi	collar	칼라
snyrtiborð	dressing table	화장대
rafmagnsrakvél	electric razor	전기면도기
augabrúnir	eyebrows	눈썹
feitur	fat	지방
háreyðing	waxing	제모
hælaskór	high heels	하이힐
gallabuxur	jeans	청바지
lýtalækningar	plastic surgery	성형수술
rakvélablað	razorblade	면도날
rakbursti	shaving brush	면도솔
raksturskrem	shaving cream	면도용 크림
grannur	slim	날씬한
strigaskór	sneaker	운동화
vesti	vest	조끼
headwear			17
höfuðklútur	bandana	반다나
húfa	beanie	비니
golfhúfa	beret	베레모
kúrekahattur	cowboy hat	카우보이 모자
eyrnahlífar	earmuffs	귀마개
sixpensari	flat hat	납작 모자
derhúfa	fullcap	캡
hárband	hair band	머리끈
öryggishjálmur	hard hat	안전모
ennisband	headband	머리띠
hetta	hood	후드
ég set	I put	저는 써요
sundhetta	swimming cap	수영 모자
sundgleraugu	swimming goggles	물안경
pípuhattur	tophat	실크해트
túrban	turban	터번
skyggni	visor	챙
jewelry			17
armband	bracelet	팔찌
kóróna	crown	왕관
kristall	crystal	크리스탈
skyrtuhnappar	cufflinks	커프링크스
demantur	diamond	다이아몬드
gimsteinn	gemstone	원석
hárspenna	hair pin	머리핀
ég gríp	I catch	저는 잡아요
ég dett	I fall	저는 떨어져요
ég leita að	I search	저는 찾아요
medalía	medal	메달
perla	pearl	진주
götun	piercing	피어싱
vasaúr	pocket watch	회중시계
kóróna	tiara	티아라
sandali	sandal	샌들
kristalkúla	crystal ball	수정구슬
makeup			18
augnskuggi	eye shadow	아이섀도우
augnblýantur	eye liner	아이라이너
förðunartaska	makeup bag	화장품 가방
gerviaugnhár	fake eyelashes	인조 속눈썹
varasalvi	chapstick	챕스틱
kinnalitur	blush	블러셔
farðahreinsir	makeup remover	메이크업 리무버
augnhárabrettari	eyelash curler	뷰러
varagloss	lip gloss	립글로스
flísatöng	tweezers	쪽집게
púðurdós	compact mirror	소형 거울
bómullarpinni	cotton swab	면봉
naglabursti	nail brush	손톱솔
naglalakkseyðir	nail polish remover	매니큐어 리무버
hárspöng	hairband	머리띠
handáburður	hand lotion	핸드크림
ég farða mig	I apply makeup	저는 화장해요
ég fjarlægi	I remove	저는 지워요
beauty_salon			17
krullujárn	curling iron	봉고데기
naglasnyrtistofa	nail salon	네일아트 샵
handsnyrting	manicure	매니큐어
fótsnyrting	pedicure	패디큐어
hárþurrka	blowdry	드라이기
háreyðing	waxing	왁싱
sléttijárn	straightening iron	고데기
hársprey	hairspray	헤어스프레이
hárlitun	hair dye	염색약
hárgel	hair gel	헤어 젤
hárrúllur	hair roller	헤어롤
hárklippur	hair clipper	이발기
hárþurrkustandur	stand dryer	스탠드 드라이어
hárbursti	styling brush	스타일링 빗
andlitsgríma	face mask	마스크팩
ég snyrti	I trim	저는 다듬어요
ég bursta	I brush	저는 빗어요
more_clothes			16
regnkápa	raincoat	우비
sloppur	robe	가운
nærbuxur	boxer shorts	사각 팬티
stuttar nærbuxur	briefs	삼각 팬티
náttföt	pyjamas	잠옷
samfestingur	overalls	오버롤
hversdagsföt	loungewear	평상복
jakki	blazer	블레이저
slá	poncho	판초
peysa	jumper	점퍼
peysa	pullover	스웨터
treyja	cardigan	가디건
ermi	sleeve	소매
nefhringur	nose ring	코걸이
ég brýt saman	I fold	저는 접어요
ég hengi upp	I hang up	저는 걸어요
luxury			18
snekkja	yacht	요트
eðalvagn	limousine	리무진
vínþjónn	sommelier	소믈리에
einkakokkur	personal chef	개인 요리사
kampavín	champagne	샴페인
ostra	oyster	굴
einkabílstjóri	chauffeur	기사
kavíar	caviar	캐비아
klæðskerasaumuð föt	tailored clothes	맞춘 옷
bryti	butler	집사
persónulegur aðstoðarmaður	personal assistant	개인 비서
ríkur	rich	부자
einkaþota	private jet	개인 제트기
lífvörður	bodyguard	보디가드
uppboð	auction	경매
fínn veitingastaður	fine dining	고급 식당
ég erfi	I inherit	저는 물려받아요
ég öðlast	I gain	저는 얻어요
fun			17
spil	cards	카드
bíó	cinema	영화관
tónleikar	concert	콘서트
sýning	exhibition	전시회
dagblað	newspaper	신문
veisla	party	파티
krá	pub	술집
íþróttaleikur	match	경기
spjall	chat	대화
tölvuleikir	video games	비디오 게임
veitingahús	restaurant	식당
þynnka	hangover	숙취
skoðunarferð	sightseeing	관광
dans	dance	춤
ég syng	I sing	저는 노래해요
ég dansa	I dance	저는 춤을 춰요
ég horfi á sjónvarpið	I watch tv	저는 TV를 봐요
music			17
klapp	applause	박수
áhorfendur	audience	청중
kór	choir	합창단
hljómsveitarstjóri	conductor	지휘자
plötusnúður	DJ	디제이
trommur	drum	드럼
gítar	guitar	기타
hljóðnemi	microphone	마이크
hljómplata	music album	음악 앨범
píanó	piano	피아노
rokkstjarna	rockstar	록스타
söngvari	singer	가수
lag	song	노래
svið	stage	무대
trompet	trumpet	트럼펫
fiðla	violin	바이올린
flauta	whistle	호루라기
festivals			17
bjalla	bell	종
afmæli	birthday	생일
kjötkveðjuhátíð	carnival	축제
jól	Christmas	크리스마스
jólatré	Christmas tree	크리스마스트리
flugeldar	fireworks	불꽃놀이
jarðarför	funeral	장례식
gjöf	gift	선물
hrekkjavaka	Halloween	할로윈
hjónaband	marriage	결혼
mæðradagur	mother's day	어머니 날
gamlaárskvöld	New Year's Eve	섣달그믐
jólasveinn	Santa Claus	산타클로스
snjókarl	snowman	눈사람
valentínusardagur	Valentine's day	발렌타인데이
brúðkaup	wedding	결혼식
ég fagna	I celebrate	저는 축하해요
camping			17
sjónauki	binoculars	망안경
prímus	camp stove	캠프  스토브
hjólhýsi	caravan	이동식 주택
vegaskilti	direction post	팻말
orkustykki	energy bar	에너지 바
tjaldstóll	folding chair	접의자
staðsetningarbúnaður	GPS	지피에스
ennislampi	headlamp	헤드램프
skordýraeitur	insect repellent	방충제
kajakróður	kayaking	카약
kveikjari	lighter	라이터
sykurpúði	marshmallow	마시멜로
að elda úti	outdoor cooking	야외 조리
tjaldborð	picnic table	피크닉 탁자
snjóþrúgur	snowshoes	스노우 슈즈
gönguskór	trekking boot	등산화
göngustafir	trekking poles	등산용 지팡이
fishing_and_hunting			17
horn	antlers	뿔
beita	bait	미끼
fiskbein	fishbone	가시
fiskibátur	fishing boat	낚싯배
dádýr	deer	사슴
veiðistöng	fishing rod	낚싯대
flotholt	fishing float	부유물
krókur	hook	고리
veiðimaður	hunter	사냥꾼
hnútur	knot	매듭
loppa	paw	발
sardínur	sardines	정어리
spjótveiðar	spear fishing	스피어 피싱
refur	fox	여우
skotmark	target	목표
veiðiminjagripur	hunting trophy	사냥 트로피
ég veiði	I hunt	나는 사냥을 한다
magic_and_fantasy			17
geimvera	alien	외계인
kústur	broom	빗자루
dreki	dragon	용
dvergur	dwarf	난쟁이
álfur	fairy	요정
andi	genie	램프요정
draugur	ghost	유령
ég heyri	I hear	저는 들어요
töfrasproti	magic wand	마법 지팡이
töframaður	magician	마술사
skrímsli	monster	괴물
ljár	scythe	큰 낫
fljúgandi furðuhlutur	UFO	유에프오
vampíra	vampire	뱀파이어
norn	witch	마녀
galdrakarl	wizard	마법사
uppvakningur	zombie	좀비
spa			17
kviður	abdomen	배
náttsloppur	bathrobe	목욕 가운
strandstóll	deck chair	갑판의자
heitur pottur	hot tub	온수 욕조
ég slaka á	I relax	저는 휴식해요
nuddpottur	jacuzzi	자쿠지
fljótandi sápa	liquid soap	액체 비누
búningsklefi	locker room	라커룸
nudd	massage	마사지
gufubað	sauna	사우나
gufubað	steam room	한증막
sundlaug	swimming pool	수영장
náttúrulaug	thermal bath	열탕
heitt vatn	thermal water	온천수
háls	throat	목구멍
rennibraut	water slide	워터 슬라이드
þyngdartap	weight loss	체중감량
hobbies			18
saumaskapur	sewing	바느질
teikning	drawing	그림 그리기
prjónaskapur	knitting	뜨개질
trésmíði	woodworking	목공
módelsmíði	model building	모형 만들기
skartgripagerð	jewelry making	귀금속 제조
fuglaskoðun	birdwatching	조류 관찰
læra erlend tungumál	foreign language learning	외국어 학습
bakstur	baking	제과제빵
borðspil	board games	보드게임
útsaumur	embroidery	자수
leirkeragerð	pottery	도자기
frímerkjasöfnun	collecting stamps	우표 수집
sjálfboðavinna	volunteering	자원봉사
fiskveiðar	fishing	낚시
ég hlusta á tónlist	I listen to music	저는 음악을 들어요
ég geri	I make	저는 만들어요
ég hef gaman af	I enjoy	저는 즐겨요
musical_instruments			18
selló	cello	첼로
orgel	organ	오르간
harpa	harp	하프
flauta	flute	플루트
óbó	oboe	오보에
básúna	trombone	트롬본
klarínett	clarinet	클라리넷
túba	tuba	튜바
munnharpa	harmonica	하모니카
bassi	bass	베이스
trommukjuðar	drum sticks	드럼 스틱
kassagítar	acoustic guitar	어쿠스틱 기타
rafmagnsgítar	electric guitar	전자 기타
saxófónn	saxophone	색소폰
hljóðgervill	synthesizer	신시사이저
trommur	drums	드럼
ég plokka	I pluck	저는 뜯어요
ég sem	I compose	저는 작곡해요
toys			18
tuskudýr	stuffed animal	봉제인형
púsluspil	puzzle	퍼즐
kubbar	building blocks	빌딩 블록
baðdót	bath toy	목욕용 장난감
vatnsbyssa	squirt gun	물총
leikfangabíll	toy car	장난감 자동차
skoppibolti	bouncy ball	탱탱볼
sippuband	jump rope	줄넘기
litabók	coloring book	컬러링북
leir	playdough	찰흙
krít	sidewalk chalk	보도 분필
leikfangakassi	toy box	장난감 상자
ofurhetja	action figure	액션 피규어
brúða	doll	인형
vaxlitir	crayons	크레파스
leikfangalest	toy train	장난감 기차
ég geng frá	I put away	저는 치워요
ég ímynda mér	I imagine	저는 상상해요
geography			17
strönd	beach	바닷가
hellir	cave	동굴
skógur	forest	숲
höfn	harbor	항구
hæð	hill	언덕
eyja	island	섬
vatn	lake	호수
landakort	map	지도
fjall	mountain	산
stígur	path	길
á	river	강
landslag	scenery	풍경
fjara	shore	해안가
dalur	valley	계곡
skagi	peninsula	반도
ég blæs	I blow	저는 불어요
ég syndi	I swim	저는 수영해요
school			17
bók	book	책
reiknivél	calculator	계산기
kennslustofa	classroom	교실
prófskírteini	diploma	졸업장
strokleður	eraser	지우개
próf	exam	시험
útskrift	graduation	졸업
blek	ink	잉크
fyrirlestur	lecture	강의
stílabók	notebook	노트
bréfaklemma	paper clip	클립
penni	pen	펜
blýantur	pencil	연필
reglustika	ruler	자
nemendaskírteini	student id	학생증
tússtafla	whiteboard	화이트보드
ég læri	I study	저는 공부해요
more_geography			17
snjóflóð	avalanche	눈사태
höfuðborg	capital city	수도
klettur	cliff	절벽
eyðimörk	desert	사막
sandöldur	dunes	모래언덕
flóð	flood	홍수
hnattlíkan	globe	지구본
tindur	peak	산봉우리
grjót	rock	바위
sjór	sea	바다
skíðabrekka	ski slope	스키장
skýstrokkur	tornado	토네이도
göng	tunnel	터널
eldfjall	volcano	화산
foss	waterfall	폭포
alda	wave	파도
heimurinn	world	세계
astronomy			17
Afríka	Africa	아프리카
Ameríka	America	아메리카
Asía	Asia	아시아
tungl	moon	달
halastjarna	comet	혜성
Jörðin	Earth	지구
austur	east	동쪽
Evrópa	Europe	유럽
vetrarbraut	galaxy	은하계
norður	north	북쪽
pláneta	planet	행성
suður	south	남쪽
geimur	space	우주
stjarna	star	별
sjónauki	telescope	망원경
tímabelti	time zone	표준 시간대
vestur	west	서쪽
biology			17
atóm	atom	원자
baktería	bacteria	박테리아
fruma	cell	세포
efnafræði	chemistry	화학
meltingarkerfi	digestive system	소화기 계통
dropateljari	dropper	점적기
þróun	evolution	진화
tilraun	experiment	실험
líða yfir	faint	실신
smásjá	microscope	현미경
sameind	molecule	분자
haka	chin	턱
bólur	pimples	여드름
tunga	tongue	혀
nýra	kidney	신장
ég kyngi	I swallow	저는 삼켜요
ég kasta upp	I vomit	저는 토해요
ecology			17
hrein orka	clean energy	클린 에너지
Molta	compost	퇴비
Moltun	composting	비료화처리
eyðing skóga	deforestation	삼림벌채
þurrkur	drought	가뭄
ruslabíll	garbage truck	쓰레기차
hlýnun jarðar	global warming	지구온난화
erfðabreytt lífvera	GMO	GMO
ég endurvinn	I recycle	저는 재활용을 해요
Landfylling	landfill	쓰레기 매립지
kjarnorkuver	nuclear power plant	원자력 발전소
olíuborpallur	oil platform	석유 굴착용 플랫폼
olíuleki	oil spill	석유 유출
orkuver	power plant	발전소
endurnýjanleg orka	renewable energy	재생가능 에너지
sólarrafhlaða	solar panels	태양열 전지판
vindhverfill	wind turbine	풍력발전용 터빈
mathematics			17
samlagning	addition	더하기
horn	angle	각도
deiling	division	나누기
jafnt og	equal	동일한
jafna	equation	등식
fall	function	함수
óendanlegt	infinite	무한한
margföldun	multiplication	곱셈
svigi	parentheses	괄호
prósenta	percentage	퍼센트
kvaðratrót	root	근
veldi	square	제곱
frádráttur	subtraction	빼기
sjöundi	seventh	일곱 번째
áttundi	eighth	여덟 번째
ég lækka	I decrease	저는 줄어요
ég hækka	I increase	저는 늘려요
sports			17
hafnabolti	baseball	야구
körfubolti	basketball	농구
box	boxing	권투
skák	chess	체스
skylmingar	fencing	펜싱
bandarískur fótbolti	football	미식축구
hestamennska	horse racing	경마
fjallahjólreiðar	mountain biking	산악 사이클링
hjólreiðar á vegi	road cycling	도로 사이클링
siglingar	sailing	항해
fótbolti	soccer	축구
brimbrettabrun	surfing	서핑
sund	swimming	수영
tennis	tennis	테니스
jóga	yoga	요가
ég sparka	I kick	저는 차요
ég kasta	I throw	저는 던져요
sports_equipment			17
ör	arrow	화살
bolti	ball	공
bogi	bow	활
mark	goal	골
markmaður	goalkeeper	골키퍼
hjálmur	helmet	헬멧
skautar	ice skate	아이스 스케이트
net	net	네트
leikmaður	player	선수
keppni	race	경주
tennisspaði	racket	라켓
dómari	referee	심판
hjólabretti	skateboard	스케이트보드
skíði	skis	스키
snjóbretti	snowboard	스노보드
íþróttavöllur	stadium	경기장
sundföt	swimsuit	수영복
more_sports			16
badminton	badminton	배드민턴
skíðaskotfimi	biathlon	바이애슬론
klifur	climbing	등반
golf	golf	골프
fimleikar	gymnastics	체조
handbolti	handball	핸드볼
íshokkí	ice hockey	아이스하키
listdans á skautum	ice skating	아이스 스케이트 타기
vélhjólasport	motorcycling	오토바이 타기
svifvængjaflug	paragliding	패러글라이딩 하기
sportköfun	scuba diving	스쿠버다이빙 하기
skíðaíþróttir	skiing	스키 타기
snjóbretti	snowboarding	스노보드 타기
borðtennis	table tennis	탁구
blak	volleyball	배구
vatnapóló	water polo	수구
bicycle			17
hjólabjalla	bike bell	자전거 벨
hjólagaffall	bike fork	자전거 폭
hjólalás	bike lock	자전거 자물쇠
hjóladekk	bike wheel	자전거 바퀴
hjólabremsa	bike brake	자전거 브레이크
hjólakeðja	bike chain	자전거 체인
hjólahanskar	bike gloves	자전거 장갑
hjólastígur	bike lane	자전거 길
bremsuhandfang	brake lever	브레이크 레버
hjólasnælda	cassette	카세트
keðja	chainring	체인링
sveifarás	crank	크랭크
stýri	handlebar	핸들
reiðhjólahjálmur	bicycle helmet	자전거 헬멧
pedali	pedal	페달
hnakkur	saddle	안장
það rennur	It rolls	구른다
swimming			15
froskalappir	fins	물갈퀴
skriðsund	freestyle stroke	자유형
bringusund	breaststroke	평영
baksund	backstroke	배영
flugsund	butterfly stroke	접영
nefklemma	nose clip	코 집게
sunddót	floaties	튜브
uppblásinn fleki	inflatable raft	뗏목 튜브
útisund	open water swimming	야외 물놀이
björgunarbúnaður	life saver	구명 튜브
stökkbretti	diving board	다이빙대
ég skvetti	I splash	저는 물을 튀겨요
ég flýt	I float	저는 떠요
ég kafa	I dive	저는 다이빙 해요
ég held í mér andanum	I hold my breath	저는 숨을 참아요
skiing_&_ice_hockey			18
skíðastafir	ski poles	스키 폴
skíðaskór	ski boots	스키화
skíðagleraugu	ski goggles	스키 고글
skíðalyfta	chairlift	의자식 리프트
skíðaskáli	ski lodge	스키장
skíðapassi	ski pass	스키 패스
gervisnjór	fake snow	가짜 눈
pökkur	puck	퍽
hokkíkylfa	hockey stick	하키 스틱
ísskautar	ice skates	아이스 스케이트
tannhlíf	teeth guard	마우스피스
skautasvell	ice rink	아이스 링크
íshokkígríma	mask cage	철장 케이지
gríparahanski	catcher glove	포수용 글러브
stigatafla	scoreboard	득점판
áhorfendur	spectators	구경꾼
ég renn	I glide	저는 미끄러져요
ég skora	I score	저는 득점해요
soccer_&_basketball			18
íþróttatreyja	jersey	운동복 셔츠
varamaður	substitute	교체 선수
horn	corner	코너
takkar	cleats	클리츠
gult spjald	yellow card	옐로우 카드
rautt spjald	red card	레드 카드
brot	foul	파울
skalli	header	헤더
útspark	kick off	경기 시작
troðsla	slam dunk	덩크 슛
aukakast	free throw	자유투
körfuboltakarfa	basketball net	농구 골대
þriggja punkta lína	three-point line	3점 라인
stökkskot	jump shot	점프슛
innkast	throw in	스로인
ég gef boltann	I pass the ball	저는 공을 패스해요
ég dripla	I dribble	저는 드리블해요
ég gæti marksins	I guard	저는 수비해요
gym			17
ketilbjalla	kettlebell	케틀벨
handlóð	dumbbell	아령
þrekhjól	stationary bike	고정된 자전거
lóðastöng	barbell	바벨
hlaupabretti	treadmill	런닝머신
einkaþjálfari	personal trainer	개인 트레이너
æfingabolti	exercise ball	운동용 공
æfingateygjur	resistance band	탄력 밴드
jógamotta	yoga mat	요가 매트
róðrarvél	rowing machine	로잉 머신
sandfylltur leðurbolti	medicine ball	메디신 볼
æfingapoki	punching bag	샌드백
upphífingastöng	pullup bar	철봉
armbeygja	pushup	팔 굽혀 펴기
vesti	bib	턱받이
ég lyfti	I lift	저는 들어요
ég slæ	I punch	저는 쳐요
extreme_sports			18
fallhlífarstökk	skydiving	스카이다이빙
frjálst fallhlífarstökk	free diving	자유 다이빙
teygjustökk	bungee jumping	번지점프
flúðasigling	rafting	래프팅
parkour	parkour	파쿠르
línuskauta	rollerblading	롤러 블레이드 타기
torfæruhjól	motocross	모토크로스
svifdrekaflug	hang gliding	행글라이더 타기
landstökk	base jumping	베이스 점핑
búkbrettareið	bodyboarding	보디보딩
sjóbrettareið	wakeboarding	웨이크보딩
slaklínuganga	slacklining	줄타기
hjólað á bmx	riding bmx	BMX 타기
brekkuhjólreiðar	downhill riding	내리막길 주행
flugdrekabrettareið	kitesurfing	카이트 서핑
vatnaskíði	waterskiing	수상스키
ég skemmi	I damage	저는 고장 내요
ég tek áhættu	I take a risk	저는 위험을 무릅써요
athletics			17
hlaupakefli	relay baton	계주 배턴
hástökk	high jump	높이뛰기
langstökk	long jump	멀리 뛰기
þrístökk	triple jump	삼중 점프
stangarstökk	pole vaulting	장대 높이 뛰기
kúluvarp	weight throwing	역도
sleggjukast	hammer throw	망치 던지기
spjótkast	javelin	창
kringlukast	discus	원반 던지기
starthola	starting block	출발대
braut	lane	레인
spretthlaup	sprints	단거리 달리기
maraþon	marathon	마라톤
hlaupaskór	running shoes	운동화
hjartsláttur	heart rate	심박 수
ég byrja	I start	저는 시작해요
ég læt ganga	I pass	저는 통과해요
leaders			17
geimfari	astronaut	우주비행사
skipstjóri	captain	선장
þjálfari	coach	코치
hershöfðingi	commander	사령관
einræðisherra	dictator	독재자
leikstjóri	director	감독
konungur	king	왕
riddari	knight	기사
leigusali	landlord	주인
stjórnmálamaður	politician	정치가
páfi	pope	교황
forseti	president	대통령
prins	prince	왕자
prinsessa	princess	공주
drottning	queen	여왕
uppreisnarmaður	rebel	반역자
fógeti	sheriff	보안관
crime			17
brennuvargur	arsonist	방화범
reiðhjólaþjófnaður	bike theft	자전거 절도
mútur	bribe	뇌물
eftirlitsmyndavélar	CCTV	씨씨티비
kreditkortasvik	credit card fraud	신용카드 범죄
glæpavettvangur	crime scene	범죄 현장
rannsóknarlögreglumaður	detective	수사관
tölvuhakkari	hacker	해커
ég brýst inn	I break in	저는 침입해요
ég stel	I steal	저는 훔쳐요
rannsókn	investigation	수사
morð	murder	살인
piparúði	pepper spray	페퍼 스프레이
ræningi	robber	강도
sírena	siren	사이렌
þjófnaður	theft	절도
þjófur	thief	도둑
politics			17
atkvæðagreiðsla	ballot	무기명 투표
